,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
0,Jeep Compass 2.0 Longitude Option BSIV,10.03 Lakh,"86,226 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats
1,Renault Duster RXZ Turbo CVT,12.83 Lakh,"13,248 kms",Petrol,Automatic,1st Owner,2021,1330 cc,5 Seats
2,Toyota Camry 2.5 G,16.40 Lakh,"60,343 kms",Petrol,Automatic,1st Owner,2016,2494 cc,5 Seats
3,Honda Jazz VX CVT,7.77 Lakh,"26,696 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats
4,Volkswagen Polo 1.2 MPI Highline,5.15 Lakh,"69,414 kms",Petrol,Manual,1st Owner,2016,1199 cc,5 Seats
5,Volkswagen Vento 1.2 TSI Highline AT,7.66 Lakh,"49,719 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
6,Volkswagen Vento 1.2 TSI Highline Plus AT,7.58 Lakh,"43,688 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
7,Honda WR-V VX Diesel,11.60 Lakh,"14,470 kms",Diesel,Manual,1st Owner,2021,1498 cc,5 Seats
8,Honda City i VTEC CVT SV,6.99 Lakh,"21,429 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats
9,Renault Duster Petrol RXS CVT,7.53 Lakh,"31,750 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats
10,Maruti Baleno 1.2 Alpha,6.43 Lakh,"38,203 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
11,Honda City i VTEC CVT SV,5.43 Lakh,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,1497 cc,5 Seats
12,Mahindra XUV300 W6,8.62 Lakh,"10,381 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats
13,Jeep Compass 1.4 Limited Plus BSIV,16.78 Lakh,"32,378 kms",Petrol,Automatic,1st Owner,2019,1368 cc,5 Seats
14,Honda City V MT,10.03 Lakh,"38,906 kms",Petrol,Manual,1st Owner,2020,1498 cc,5 Seats
15,Hyundai Grand i10 AT Asta,5.63 Lakh,"59,313 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats
16,Hyundai i20 1.4 Asta,6.67 Lakh,"85,672 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats
17,Maruti Ciaz 1.4 Delta,6.73 Lakh,"34,971 kms",Petrol,Manual,2nd Owner,2017,1373 cc,5 Seats
18,Nissan Micra XL Optional,3.21 Lakh,"35,894 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats
19,Maruti Ciaz Alpha Automatic BSIV,8.50 Lakh,"56,000 kms",Petrol,Automatic,1st Owner,2019,1462 cc,5 Seats
20,Maruti Swift Dzire VXI,4.34 Lakh,"56,568 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats
21,Renault KWID RXT,3.11 Lakh,"48,872 kms",Petrol,Manual,1st Owner,2017,799 cc,5 Seats
22,Renault KWID RXL BSIV,3.70 Lakh,"17,346 kms",Petrol,Manual,1st Owner,2019,799 cc,5 Seats
23,Jeep Compass 2.0 Limited Plus BSIV,15.88 Lakh,"15,414 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,5.41 Lakh,"21,239 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
25,Maruti Alto K10 LXI,2.23 Lakh,"62,361 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats
26,Hyundai Verna 1.6 VTVT S Option,5.88 Lakh,"79,329 kms",Petrol,Manual,2nd Owner,2015,1591 cc,5 Seats
27,Hyundai Tucson GLS AT,22.78 Lakh,"11,945 kms",Petrol,Automatic,1st Owner,2021,1999 cc,5 Seats
28,Maruti Swift Dzire VXI 1.2,6.12 Lakh,"51,324 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
29,Nissan Magnite XV Premium,7.44 Lakh,"5,717 kms",Petrol,Manual,1st Owner,2021,999 cc,5 Seats
30,Honda City i VTEC CVT VX,8.39 Lakh,"46,417 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats
31,Honda Amaze S i-Vtech,4.20 Lakh,"1,00,161 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
32,Hyundai Grand i10 Sportz,4.91 Lakh,"35,424 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats
33,Hyundai EON Era Plus,2.93 Lakh,"51,085 kms",Petrol,Manual,1st Owner,2017,814 cc,5 Seats
34,Maruti Alto 800 LXI,2.98 Lakh,"30,983 kms",Petrol,Manual,1st Owner,2016,796 cc,5 Seats
35,Renault KWID RXL,2.60 Lakh,"32,681 kms",Petrol,Manual,1st Owner,2016,799 cc,5 Seats
36,Hyundai EON Magna Plus,2.38 Lakh,"57,581 kms",Petrol,Manual,2nd Owner,2014,814 cc,5 Seats
37,Honda Jazz 1.2 V AT i VTEC,6.05 Lakh,"39,821 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
38,Maruti Alto 800 LXI,3.23 Lakh,"21,186 kms",Petrol,Manual,1st Owner,2018,796 cc,5 Seats
39,Renault KWID RXL,3.26 Lakh,"34,972 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats
40,Honda Amaze S i-Vtech,4.21 Lakh,"46,623 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats
41,Kia Seltos GTX Plus,15.53 Lakh,"18,557 kms",Petrol,Manual,1st Owner,2019,1353 cc,5 Seats
42,Jeep Compass 2.0 Limited,12.43 Lakh,"58,463 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats
43,MG Hector Plus Sharp DCT,18.50 Lakh,"5,000 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats
44,Tata Harrier XZ BSIV,15.90 Lakh,"66,000 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats
45,Renault Duster Petrol RXS CVT,8.90 Lakh,"14,000 kms",Petrol,Automatic,1st Owner,2019,1498 cc,5 Seats
46,BMW 5 Series 520d Luxury Line,43 Lakh,"61,000 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats
47,Hyundai i20 1.4 Magna Executive,6 Lakh,"65,392 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats
48,Mercedes-Benz CLA 200 CGI Sport,27 Lakh,"37,000 kms",Petrol,Automatic,1st Owner,2018,1991 cc,5 Seats
49,Maruti XL6 Zeta,10.90 Lakh,"9,000 kms",Petrol,Manual,1st Owner,2020,1462 cc,6 Seats
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.90 Lakh,"32,000 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats
51,Mahindra XUV500 W8 2WD,6.50 Lakh,"68,000 kms",Diesel,Manual,1st Owner,2012,2179 cc,7 Seats
52,Hyundai i20 Magna 1.2,6.75 Lakh,"13,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
53,Datsun RediGO AMT 1.0 T Option,3.70 Lakh,"30,000 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats
54,Honda Brio VX AT,5.25 Lakh,"34,300 kms",Petrol,Automatic,1st Owner,2015,1198 cc,5 Seats
55,Honda City i VTEC CVT SV,7.25 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats
56,Toyota Corolla Altis GL MT,8.50 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2014,1798 cc,5 Seats
57,Jeep Compass 1.4 Sport,14 Lakh,"50,000 kms",Petrol,Manual,1st Owner,2018,1368 cc,5 Seats
58,Volvo XC60 D4 Summum,15 Lakh,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,1985 cc,5 Seats
59,Toyota Corolla Altis 1.8 G,13.90 Lakh,"54,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats
60,Hyundai Verna VTVT 1.6 SX,8.90 Lakh,"19,600 kms",Petrol,Manual,1st Owner,2019,1591 cc,5 Seats
61,Audi A4 2.0 TDI Technology Edition,16.90 Lakh,"48,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
62,Audi Q3 2.0 TDI,13.90 Lakh,"69,500 kms",Diesel,Automatic,1st Owner,2012,1968 cc,5 Seats
63,BMW 5 Series 530d,15 Lakh,"71,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats
64,Porsche Cayenne S Diesel,45 Lakh,"48,894 kms",Diesel,Automatic,1st Owner,2014,4134 cc,5 Seats
65,Maruti A-Star Zxi,1.53 Lakh,"46,257 kms",Petrol,Manual,3rd Owner,2008,998 cc,5 Seats
66,Ford Ecosport 1.5 DV5 MT Titanium,5.09 Lakh,"78,264 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats
67,Honda Jazz 1.2 S AT i VTEC,5.46 Lakh,"42,451 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
68,Volkswagen Vento Diesel Highline,2.73 Lakh,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,1598 cc,5 Seats
69,Maruti Wagon R VXI BS IV,1.80 Lakh,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,998 cc,5 Seats
70,Chevrolet Beat Diesel PS,1.10 Lakh,"1,50,349 kms",Diesel,Manual,1st Owner,2012,936 cc,5 Seats
71,Maruti Wagon R VXI BS IV,3.69 Lakh,"29,033 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats
72,BMW 3 Series 320d Luxury Line,13.50 Lakh,"99,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats
73,Renault KWID RXL,2.75 Lakh,"47,000 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats
74,Maruti Baleno 1.3 Sigma,5.50 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats
75,Mercedes-Benz C-Class C 220 CDI BE COR,9.75 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2013,2143 cc,5 Seats
76,Honda City S,4 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2012,1497 cc,5 Seats
77,Honda Amaze VX AT i-Vtech,4.75 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats
78,Hyundai EON D Lite,1.90 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2012,814 cc,5 Seats
79,Hyundai i20 Magna Optional 1.2,4.65 Lakh,"23,000 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats
80,Hyundai Grand i10 1.2 Kappa Era,4.60 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
81,Hyundai i10 Magna 1.1L,3.25 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2014,1086 cc,5 Seats
82,Maruti Ertiga VDI,5.25 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,7 Seats
83,Hyundai i20 1.2 Spotz,6.25 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
84,BMW 2 Series 220i M Sport,40 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2021,1998 cc,5 Seats
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16.75 Lakh,"16,000 kms",Petrol,Automatic,1st Owner,2022,999 cc,5 Seats
86,Honda City i-VTEC VX,10 Lakh,"24,000 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats
87,MG Hector Plus Select Diesel MT 7 STR,17.90 Lakh,"36,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,7 Seats
88,Jeep Compass 1.4 Limited Plus,13.90 Lakh,"35,000 kms",Petrol,Automatic,2nd Owner,2019,1368 cc,5 Seats
89,Honda Amaze E Petrol BSIV,6.10 Lakh,"64,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
90,Maruti Vitara Brezza VDi,7.75 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
91,Hyundai Grand i10 Magna,4.60 Lakh,"29,900 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
92,Mahindra XUV700 AX5 Diesel AT,20.91 Lakh,"20,000 kms",Diesel,Automatic,1st Owner,2022,2198 cc,5 Seats
93,Tata Indigo VX BSIV,3.10 Lakh,"1,60,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats
94,Tata Tiago XZ Plus,5.65 Lakh,"16,000 kms",Petrol,Manual,1st Owner,2020,1199 cc,5 Seats
95,Honda WR-V i-VTEC VX,9 Lakh,"17,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
96,Lexus NX 300h,42 Lakh,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,2499 cc,5 Seats
97,Mercedes-Benz M-Class ML 250 CDI,28.50 Lakh,"38,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats
98,Honda Jazz 1.5 SV i DTEC,5.50 Lakh,"32,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats
99,Volkswagen Polo 1.2 MPI Comfortline,4.50 Lakh,"67,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
100,Ford Ecosport 1.5 Petrol Titanium AT,6.75 Lakh,"50,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats
101,Maruti Swift VDI BSIV,1.80 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1248 cc,5 Seats
102,Hyundai Verna VTVT 1.6 AT EX,7.75 Lakh,"51,000 kms",Petrol,Automatic,1st Owner,2017,1591 cc,5 Seats
103,Hyundai Grand i10 1.2 CRDi Sportz,5.50 Lakh,"83,000 kms",Diesel,Manual,1st Owner,2017,1186 cc,5 Seats
104,Audi Q3 35 TDI Quattro Premium,24 Lakh,"38,000 kms",Diesel,Automatic,1st Owner,2016,1968 cc,5 Seats
105,Hyundai Creta 1.6 SX Automatic Diesel,13.25 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats
106,Hyundai Creta 1.6 SX,11 Lakh,"36,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats
107,Volkswagen Vento 1.0 TSI Highline AT,10.50 Lakh,"23,500 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats
108,Hyundai i20 1.2 Magna Executive,6.50 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
109,Skoda Superb LK 1.8 TSI AT,25 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2018,1798 cc,5 Seats
110,Honda Amaze V Petrol BSIV,6 Lakh,"36,500 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats
111,Skoda Superb Sportline,31 Lakh,"25,000 kms",Petrol,Automatic,1st Owner,2021,1984 cc,5 Seats
112,Kia Seltos HTX IVT,15.75 Lakh,"20,500 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats
113,Honda Amaze S i-Vtech,4.50 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
114,Hyundai i20 Magna 1.2,5.90 Lakh,"59,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
115,BMW X1 sDrive 20d xLine,14.50 Lakh,"80,000 kms",Diesel,Automatic,1st Owner,2014,1995 cc,5 Seats
116,Hyundai Xcent 1.2 CRDi E Plus,3.80 Lakh,"50,000 kms",Diesel,Manual,2nd Owner,2017,1186 cc,5 Seats
117,Tata Harrier XZAS Plus Kaziranga Edition AT,21 Lakh,"32,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats
118,Hyundai i10 Era 1.1 iTech SE,2.61 Lakh,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,1086 cc,5 Seats
119,Land Rover Discovery 2.0 R-Dynamic HSE,1.10 Crore,"33,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,7 Seats
120,Mini 3 DOOR Cooper S,42 Lakh,"6,900 kms",Petrol,Automatic,1st Owner,2019,1998 cc,4 Seats
121,Tata Harrier XZA Plus Kaziranga Edition AT,22.50 Lakh,"4,500 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats
122,Volvo S90 D4 Inscription BSIV,42 Lakh,"51,000 kms",Diesel,Automatic,1st Owner,2018,1969 cc,5 Seats
123,Kia Seltos GTX Plus AT D,19.75 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats
124,Maruti Vitara Brezza ZDi Plus,9.50 Lakh,"37,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats
125,Hyundai Verna SX Opt Diesel,14.51 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2021,1493 cc,5 Seats
126,Maruti Wagon R VXI Optional,3 Lakh,"80,000 kms",Petrol,Manual,2nd Owner,2016,998 cc,5 Seats
127,Hyundai Grand i10 Magna,4.60 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats
128,Honda Amaze VX CVT,9.15 Lakh,"10,000 kms",Petrol,Automatic,1st Owner,2022,1199 cc,5 Seats
129,Maruti Ignis Zeta AMT,5.50 Lakh,"59,385 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
130,Jaguar XF 3.0 Litre S Premium Luxury,17 Lakh,"51,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats
131,Mahindra XUV500 AT W6 1.99 mHawk,9.90 Lakh,"74,000 kms",Diesel,Automatic,1st Owner,2017,1997 cc,7 Seats
132,Tata Nexon 1.2 Revotron XMA,8.51 Lakh,"29,000 kms",Petrol,Automatic,1st Owner,2020,1198 cc,5 Seats
133,Jeep Compass Model S 4X4 Diesel AT,27.50 Lakh,"12,200 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.50 Lakh,"40,000 kms",Petrol,Automatic,3rd Owner,2019,1197 cc,5 Seats
135,Hyundai Verna CRDi 1.6 SX,9.51 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats
136,Toyota Innova Crysta 2.8 ZX AT BSIV,19.90 Lakh,"75,000 kms",Diesel,Automatic,2nd Owner,2019,2755 cc,7 Seats
137,Land Rover Discovery Sport TD4 HSE 7S,35.50 Lakh,"72,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,7 Seats
